Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",5,4.59,Orion Children's Books,Kindle Edition,561,2016,2016,2019/12/16,2019/11/24,,,read,,,,1,,,0,,,,,
35384793,"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250027438""","=""9781250027436""",3,3.98,Square Fish,Paperback,358,2017,2012,2021/05/17,2021/05/07,,,read,,,,1,,,0,,,,,
48848206,ജയിലനുഭവങ്ങൾ | Jayilanubhavangal,زينب الغزالي,"الغزالي, زينب",V.S. Saleem,"=""""","=""9788182717541""",4,3.67,Islamic Publishing House,Paperback,174,2018,1982,2021/05/14,2021/05/07,"abuse, books-i-own, muslim-protagonist, new-places, non-fiction, really-liked-it, translated-reads-malayalam, auto-biographies-and-memoirs","abuse (#6), books-i-own (#44), muslim-protagonist (#23), new-places (#37), non-fiction (#19), really-liked-it (#139), translated-reads-malayalam (#10), auto-biographies-and-memoirs (#27)",read,,,,1,,,0,,,,,
51783408,Undertow,Jahnavi Barua,"Barua, Jahnavi",,"=""""","=""9780670093731""",0,4.02,,Hardcover,181,2020,2020,,2021/05/10,to-read,to-read (#781),to-read,,,,0,,,0,,,,,
52766407,Today Tonight Tomorrow,Rachel Lynn Solomon,"Solomon, Rachel Lynn",,"=""1534440240""","=""9781534440241""",0,4.26,Simon Pulse,Hardcover,364,2020,2020,,2021/05/10,to-read,to-read (#780),to-read,,,,0,,,0,,,,,
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,4.11,Celadon Books,Hardcover,325,2019,2019,,2021/05/07,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
38210294,"Love, Hate & Other Filters",Samira Ahmed,"Ahmed, Samira",,"=""""","=""9781471407154""",2,3.80,Hot Key Books,ebook,325,,2018,2018/01/27,2018/01/07,"2018, contemporary, chick-lit, could-have-been-better, i-didnt-get-the-point, indian-author-books, muslim-protagonist, over-hyped, romance-lovey-dovey, young-adult","2018 (#1), contemporary (#46), chick-lit (#54), could-have-been-better (#19), i-didnt-get-the-point (#33), indian-author-books (#53), muslim-protagonist (#12), over-hyped (#13), romance-lovey-dovey (#93), young-adult (#131)",read,"<b><u>UPDATE</U> 18/2/18</B> - I see many of you chanced upon this book looking for a good Muslim rep. I did too. But this book was far from it. I have added some recommendations at the end of the review for those who are looking for good Muslim reps. <U>BELIEVE ME, this is not the book you're looking for. </U><br/><br/>●◇●◇●◇●◇●◇●◇●◇●◇●◇●◇●◇●<br/><br/>Hear that faint shriek in the distance? Yeah, that’s probably me screaming over this book.<br/><br/><b>H   O   R   R   I   B   B   L   E</b><br/><br/>When I saw this book on my feed – <b><br/>-	The MC is an Indian Teen. </b>Indian. Teen. In. America. I NEED I NEED I NEED IT<br/><b><br/>-	Muslim Rep. </b>OMG. (Yeah, there’s seriously too less of them. WE NEED DIVERSE YA) </b><br/><br/>See, <b>I am an Indian Muslim Teen. </b>I might not have seen America, but still, I knew I had to get this book and read it asap. Plus the reviews were all 5-starred! BONUS!<br/><br/>Only, when you’re expecting to see yourself represented in a book, the book has a way of unduly disappointing you. <b> I am so so frustrated by the rep in this book. </b><br/><br/>If you don’t know the plot yet, Maya Aziz is a 17 year old living in Illinois with her immigrant, conservative parents. She loves making movies and intends to make a career out of it. She has a crush on a long-time classmate Phil. Her parents try to set her up with Kareem, a boy they deem suitable. Maya’s dreams of going to NYU for studies are crushed by the aftermath of a terrorist attack she has no role in.<br/><br/>Seems stuffy, doesn’t it?<br/>Well, be disappointed because –<br/><br/><b>¤• THE ONLY FOCUS HERE IS ROMANCE.</b> You’d think that with a Muslim MC, romance might be the last thing to expect. But no, <b>Maya has a crush on Phil, a Christian boy.</b> They go on dates, swimming lessons IN A BIKINI, kiss, hold hands and spend a night together. This is a forbidden relationship in Islam, and the only thing Maya is worried about is her parents grounding her?! She couldn’t even acknowledge the fact that what she is doing is <i>wrong</i> in her morals?<br/><blockquote><br/>-	 And btw, in the end, she’s romancing another guy, a Hindu nonetheless. After all the fussing and falling over Phil, she moves on to another guy. Way to go, binch!<br/>-	The supposedly cute romance was way too fluffy. Like made-to-feel-this-way fluff. Like, they-are-too-cute-together-omigod fluff.<br/>-	I couldn’t think of anything those two had in common. Except, maybe a crush on each other. <br/>-	I know, I shouldn’t be disappointed to see a Muslim girl romancing a Christian boy. Everyone has a right to date whoever they want.<br/>-	But <b>she never acknowledges her religion,</b> doesn’t give it a second thought. It’s like she was saving face, trying to play cool by not saying out loud that NO, MUSLIMS ARE NOT ALLOWED TO DATE. BUT I WANT TO SO I DO. <b>Someone’s ashamed of her beliefs.</b>  </blockquote><br/><br/><b>¤• MAYA IS A TERRIBLE EXCUSE FOR A MUSLIM MC.</b> Does she pray ever? NO. Does she even say ‘I’m a Muslim’? NO. Does she ever say or do anything on her own that remotely signifies a Muslim? NO.<br/>I have no idea, why this book was branded as Muslim rep. <b>Maya Aziz, is a Muslim only by her last name.</b> I wonder if that’s the reason why everybody thinks this book is diverse.<b> Maya’s religion is used as a plot device, to be the butt of terrorist jokes and nothing else.</b> <br/><blockquote><br/>-	So there’s one time, when<b> Kareem drinks wine in front of Maya and she seems shocked.</b><br/>-	What do they do, then? <b>Laugh over it as if it’s a joke.</b> Say <b>“it’s not like I’m eating pork”!!</b><br/>-	Who ever said,<b> drinking wine is allowed and pork is not??</b> BOTH ARE FORBIDDEN FOR MUSLIMS AND ONE IS NOT WORSE THAN THE OTHER. And if you don’t act over it, you at least state the fact Maya, not joke over it because it doesn’t matter to you.<br/>-	Yeah, not all Muslim girls are hijabis, pray 5 times a day and not drink wine. But <b>doesn’t being a Muslim rep come with its responsibilities? </b> Like say, explain her Islamic ways? <br/>-	If Maya never had a Muslim last name, or if it was not specifically mentioned in the blurb, I wouldn’t have thought Maya was Muslim, or pick up the book in the first place.<br/>-	<b>It is just clever marketing strategy. </b> SAY YOUR MC IS MUSLIM, THAT YOU REPRESENT DIVERSE CULTURE, AND YOUR BOOK SELLS. HOW CONVENIENT FOR YOU SAMIRA AHMED.</blockquote><br/><br/><b>¤• THE ACT OF TERRORISM SEEMED JUSTIFIED. </b> See, at the end of each chapter, there’s a small narrative in third person, about the terrorist guy Ethan. It is basically about how his Dad was abusive, how he was deeply affected by an unhappy childhood, <b>just how shitty his life is.</b> I could not see a reason why that had to be included? <b>It was totally unnecessary. </b>At first I was lost on these narratives. Then I realized that Samira Ahmed is trying to give us the terrorists’ view of why he did what he did. <b> It was like she was covering up for his acts.</b><br/><blockquote><br/>-	I mean, I get he was mentally unstable and all that, but <b>his morbid past is no excuse for his morbid sins.</b><br/>-	It was as if the author wanted to say ‘This poor guy had an abusive childhood, Let’s all sympathize him’</b> <br/>-	What frustrates me though, is that, if a muslim guy attacks, then it would have been like <b>”That guy has a beard, he’s muslim. He must be a terrorist!”</b> How convenient is having a beard and a muslim name, to say he is a terrorist.?? <br/>-	<b>It’s like she was saying this guy who is a terrorist and not muslim, has his own reasons</b>. wth?<br/>-	BUT I’M GLAD SAMIRA AHMED TRIED TO SHOW THAT <B>TERRORISM HAS NO RELIGION</B>. I’m just not convinced it was what she actually meant. <br/>-	Also, the subplot started at like 50% into the story, and was over in a few pages. After that back to the romance. <br/>-	Why did she even bother?<b> Seems to me it was just to spice up the story. </b></blockquote><br/><br/><b>¤• THE INDIAN REP</B>.<br/> Basically, <u>all you’ll get to know about India from this book is that Indian parents are oppressive and we eat samosas all the time.</u> <br/>Which is utterly FALSE.<b> Indians are diverse, we eat a variety of food, and not all Indian parents try to contain their kids.</b> And why I was disappointed with the rep was because <b>Maya seemed to hate her culture, her background, her house that smelled of onions.</b> I can see why someone who was born and bought up in America might not be fond of Indian culture which is far off to her. But that doesn’t mean you can’t embrace your difference. That doesn’t make you any more American than it makes you any less Indian.<br/>-	It was very relatable though. <br/>-	Parents bugging you to settle down.<br/>-	Those tasty yummy home food.<br/>-	The colorful Indian wedding.<br/>-	Sorry, but it all gets drowned in the fluff of the romance.<br/><br/><b>¤• DESI COMPULSIVE PARENTS</b>. <br/>I was so glad to see this bought up in this book. <b>Someone finally acknowledges how hard it is to live with conservative parents, who dreams your share of dreams too. </b><br/> Maya wants to go to Film School in New York City, and her parents allow only after a lot of prodding. But after the terrorist attack, they prohibit her from going, and DISOWN her for deciding to go on her own. Yeah, that stuff still happens, yeah that sucks. <b>But usually they do come around in the end</b>. <br/><blockquote><br/>-	I hope it wasn’t written to feel like it was just Indian parents.<br/>-	Because seriously, that happens all around the world. <br/></blockquote><br/><br/><b>¤• MAYA IS JUST SO RUDE</b> . She has no love for her parents; she was just rude to them. Yeah, I know, her parents weren’t all that supportive, but they loved her. <br/>My parents are conservative and oppressive, but still I don’t raise my voice at them. Not just because of respect, because they’re my PARENTS. <br/><blockquote><br/>-	And Maya doesn’t give a heck about anything. As soon as she is out of her parents’ sight, she goes on a kissing spree.<br/>-	<b>She says she wants to be independent</b>.<br/>-	But <b>why does being independent have to mean dating and kissing as many boys as I can?</b><br/>-	Like, why can’t it just be – I am on my own, I am free to do what I please, and I don’t care what anyone thinks? <br/>-	NO. For Maya, independence means she can go to prom and makeout.<br/>-	That’s the same girl who couldn’t even find her voice when Brian cornered her in a food court. <br/>-	<b>She was such a scaredy-cat then</b>. Where was all that bravado with her parents?<br/>-	I mean, it was a food court for god’s sake. Couldn’t she like, scream?<br/>-	Another thing, she talks about so many movies and some books I don’t have any idea about, and well, spoils them all. <b>No I don’t like spoilers even if I probably am not going to watch those movies or read those books</b>. Thanks.</blockquote><br/><br/>On a forward note, <b> please don’t pick this book expecting a realistic, accurate Muslim Rep. </b> Go for the fluff, the romance. I know this is an #OwnVoices book, and Samira Ahmed shares her story, but when you put a label on yourself, at least try to do it some justice. That’s all I’ve got to say.<br/><br/><br/><b>For those who are looking for alternatives, here are some suggestions- </b> In no particular order<br/>▪~[b:Love From A to Z|40148146|Love From A to Z|S.K. Ali|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545943011l/40148146._SY75_.jpg|62283756] - This is THE BEST Muslim representation I've ever read. Absolute favorite. Way better than Ali's debut, and does a fantastic job of telling a halal love story while also tackling important topics without being preachy about Islam. READ IT.<br/>▪~[b:She Wore Red Trainers|18528169|She Wore Red Trainers|Na'ima B. Robert|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390436248l/18528169._SY75_.jpg|26233805] - My favorite for some personal reasons. It is a cute contemporary romance, might feel clichèd for some people but I loved it nonetheless.<br/>▪~[b:Ten Things I Hate About Me|1035021|Ten Things I Hate About Me|Randa Abdel-Fattah|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348043914l/1035021._SY75_.jpg|1021351] - Another favorite - Randah's books never disappoint. I love her characters and the genuine representation, even though most of them aren't exactly practicing Muslims.<br/>▪~[b:Love in a Headscarf|6295209|Love in a Headscarf|Shelina Zahra Janmohamed|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348148852l/6295209._SY75_.jpg|6479616] - Delves somewhat onto the philosophical side, but does a good job of doing what it was meant to.<br/>▪~[b:Does My Head Look Big in This?|79876|Does My Head Look Big in This?|Randa Abdel-Fattah|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328866134l/79876._SX50_.jpg|1532446] - A lovely representation of Muslim teen in YA. Light contemporary, but does ponder over grave issues.<br/>▪~[b:Saints and Misfits|31123249|Saints and Misfits|S.K. Ali|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537980995l/31123249._SX50_.jpg|51732685] - This book is actually a lot like LH&OF, but S.K. Ali did a much better job on the representation and religious front.<br/>▪~[b:Boy vs. Girl|8959964|Boy vs. Girl|Na'ima B. Robert|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328706436l/8959964._SY75_.jpg|13836781] - Centered around two twin teens striving to make the most of the holy month of Ramadhan. Gives you a lot better perspective than this book.<br/>▪~[b:Rekiya and Z|55542257|Rekiya and Z|Muti'ah Badruddeen|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601945061l/55542257._SX50_.jpg|86613694] - An underrated debut by a Nigerian Muslim author. A very fresh representation. It does have some triggers though. You can check out my review <a href=""https://www.goodreads.com/review/show/3687349495?book_show_action=false&from_review_page=1"">here.</a><br/><br/>If you want to read a brief fictitious account of Islamic history, I'd say [b:Mother of the Believers|6238756|Mother of the Believers|Kamran Pasha|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349096846l/6238756._SY75_.jpg|6421497] is the right book.",,,1,,,0,,,,,
55710757,Misfit in Love,S.K. Ali,"Ali, S.K.",,"=""1534442758""","=""9781534442757""",0,4.23,Salaam Reads / Simon  Schuster Books for Young Readers,Hardcover,320,2021,2021,,2020/08/26,to-read,to-read (#777),to-read,,,,0,,,0,,,,,
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",0,4.35,Atria Books,Hardcover,337,2014,2012,,2021/03/16,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
36748576,The Dark Beneath the Ice,Amelinda Bérubé,"Bérubé, Amelinda",,"=""1492657077""","=""9781492657071""",0,3.43,Sourcebooks Fire,Hardcover,329,2018,2018,,2019/01/14,to-read,to-read (#661),to-read,,,,0,,,0,,,,,
